date;BTS Comdty;CN Comdty;DU Comdty;FV Comdty;G  Comdty;IK Comdty;JB Comdty;KAA Comdty;KE Comdty;OAT Comdty;OE Comdty;RX Comdty;TFC Comdty;TFS Comdty;TFT Comdty;TU Comdty;TY Comdty;UB Comdty;US Comdty;UXY Comdty;WN Comdty;XM Comdty;XQ Comdty;YM Comdty
2013-07-22;111.2562956819;218.1169428352;117.4898488364;215.5824343947;213.2405186204;128.6298683942;256.5106247669;110.7066136112;148.6512229392;112.1381715414;189.2982372523;242.0848191808;;;;145.7990268576;454.9367681082;139.7911479876;343.121818667;;137.527337588;238.9565238496;107.8528267954;155.7115057916
2013-07-23;111.1727126135;217.3239123243;117.425012032;215.5130816572;212.4792011596;128.4543582258;256.6173099511;110.7066136112;148.5647081212;112.0363265461;188.9027618896;241.4361873964;;;;145.7886835668;454.37753422;139.3582629094;342.0139530163;;136.6752619331;238.8629661163;107.67832287;155.7115057916
2013-07-24;111.2250152656;216.0073074359;117.3655063518;215.0558385798;210.8435402956;128.4543582258;256.7766986389;110.5154609247;148.5069176642;111.4924957429;188.2479147672;239.5562962713;;;;145.7369671129;452.4761389998;137.797990247;339.5609406326;;135.3532255108;238.3051547228;107.3475553003;155.5816698649
2013-07-25;111.1727086614;215.8890471321;117.3763263839;214.9726568668;210.8435402956;128.2317594236;256.3137464817;109.7029393554;148.2044085204;111.3735237655;188.1108433849;238.8042830013;;;;145.7576536945;452.0287518892;136.6710415083;339.3234221504;;135.0887477146;236.5522000568;107.3199672019;155.3659379156
2013-07-26;111.1517401749;216.6481104055;117.3817482542;215.49925268;212.0809226885;128.114345449;256.4945086336;109.8038068217;148.2478637149;111.4246234786;188.2176880619;239.1468562064;;;;145.8404000207;453.4268366099;136.7144806646;341.1436058478;;136.175862513;236.5522000568;107.4944202762;155.4092622287
2013-07-29;111.0365091408;216.1742855518;117.3763308803;215.3607273446;212.1189414963;127.645079042;256.4945086336;110.3998905905;148.4509836983;111.4501521464;188.2024371949;239.1126272959;;;;145.83005673;452.8676027216;136.9966010204;339.7192071541;;135.3532255108;237.2895791589;107.4299414078;155.6254177068
2013-07-30;111.0784018499;215.7355878224;117.3817470279;215.2360448423;212.4024290785;128.114239224;256.4764176698;110.2691171722;148.393199985;111.5437360727;188.2024371949;239.0955167148;;;;145.8197134392;452.4761389998;137.0399943271;339.086141068;;135.0594265815;237.9270654036;107.218699814;155.9239857817
2013-07-31;111.0784018499;216.5632489094;117.3980310331;215.2637166526;211.6512182593;128.0554658461;256.4764176698;110.0094073387;148.2927887248;111.748366076;188.2024371949;238.9583324689;;;;145.8404000207;452.5320623887;137.257435731;339.4816886719;;135.6175857875;237.5661183092;107.3750019595;155.9239857817
2013-08-01;111.1705681593;214.5641659455;117.3980310331;214.3353738072;210.6182681723;128.5601253637;256.4587198516;109.9604432747;148.2927887248;111.8065920604;188.098085535;238.9917873468;;;;145.7783402761;448.7292719484;137.5543952829;334.3381454222;;132.7383562798;238.5746848953;106.9914862459;156.0527045808
2013-08-02;111.3658766058;216.000841951;117.387399409;215.5824343947;210.0128392983;129.3545132613;256.0142138025;109.1703960545;148.0967157209;112.0487253678;188.2327588553;239.3443907379;;;;145.8610866023;453.0353728881;137.5969783556;338.6113415034;;134.6481080804;236.2941306149;107.391368747;155.75308236
