,NTNB 0.5y,NTNB 1y,NTNB 1.5y,NTNB 2y,NTNB 3y,NTNB 4y,NTNB 5y,NTNB 6y,NTNB 7y,NTNB 8y,NTNB 9y,NTNB 10y,NTNB 15y,NTNB 20y,NTNB 25y
2006-01-02 00:00:00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-01-03 00:00:00,100.12125497804044,100.12125497804044,100.12071449206232,100.11932754520807,100.11655365149954,100.11631637513507,100.11631637513507,100.11631637513507,100.11631637513507,100.11631637513507,100.11631637513507,100.11631637513507,100.11631637513507,100.11631637513507,100.11631637513507
2006-01-04 00:00:00,100.17508506668968,100.17508506668968,100.18131622640725,100.19730607206259,100.22928576337324,100.2320212773073,100.2320212773073,100.2320212773073,100.2320212773073,100.2320212773073,100.2320212773073,100.2320212773073,100.2320212773073,100.2320212773073,100.2320212773073
2006-01-05 00:00:00,100.25007706208207,100.25007706208207,100.28592050553996,100.37789874949826,100.56185523741486,100.57759070937637,100.57759070937637,100.57759070937637,100.57759070937637,100.57759070937637,100.57759070937637,100.57759070937637,100.57759070937637,100.57759070937637,100.57759070937637
2006-01-06 00:00:00,100.33178439463549,100.33178439463549,100.37436973858513,100.48364844556674,100.70220585952998,100.72090106347929,100.72090106347929,100.72090106347929,100.72090106347929,100.72090106347929,100.72090106347929,100.72090106347929,100.72090106347929,100.72090106347929,100.72090106347929
2006-01-09 00:00:00,100.3905446923475,100.3905446923475,100.47028482697574,100.67490684005662,101.0841508662183,101.11915723088647,101.11915723088647,101.11915723088647,101.11915723088647,101.11915723088647,101.11915723088647,101.11915723088647,101.11915723088647,101.11915723088647,101.11915723088647
2006-01-10 00:00:00,100.51398342981557,100.51398342981557,100.6586265654412,101.02979686416244,101.77213746160494,101.83563660637141,101.83563660637141,101.83563660637141,101.83563660637141,101.83563660637141,101.83563660637141,101.83563660637141,101.83563660637141,101.83563660637141,101.83563660637141
2006-01-11 00:00:00,100.59776706289364,100.59776706289364,100.74221583481547,101.11288737475574,101.85423045463624,101.91764427265069,101.91764427265069,101.91764427265069,101.91764427265069,101.91764427265069,101.91764427265069,101.91764427265069,101.91764427265069,101.91764427265069,101.91764427265069
2006-01-12 00:00:00,100.88060808106431,100.88060808106431,101.05199328939158,101.49178670714407,102.37137354264907,102.44661260675906,102.44661260675906,102.44661260675906,102.44661260675906,102.44661260675906,102.44661260675906,102.44661260675906,102.44661260675906,102.44661260675906,102.44661260675906
2006-01-13 00:00:00,101.00404492736372,101.00404492736372,101.17878157820414,101.62717516846652,102.52396234899135,102.60067271509155,102.60067271509155,102.60067271509155,102.60067271509155,102.60067271509155,102.60067271509155,102.60067271509155,102.60067271509155,102.60067271509155,102.60067271509155
2006-01-16 00:00:00,101.12508762172601,101.12508762172601,101.2960078927211,101.73460822980832,102.61180890398276,102.68684385800596,102.68684385800596,102.68684385800596,102.68684385800596,102.68684385800596,102.68684385800596,102.68684385800596,102.68684385800596,102.68684385800596,102.68684385800596
2006-01-17 00:00:00,101.33177668271999,101.33177668271999,101.49812174731682,101.92498159828833,102.77870130023133,102.85172771308069,102.85172771308069,102.85172771308069,102.85172771308069,102.85172771308069,102.85172771308069,102.85172771308069,102.85172771308069,102.85172771308069,102.85172771308069
2006-01-18 00:00:00,101.38010178212804,101.38010178212804,101.5474187995118,101.97677278893445,102.83548076777983,102.90893387333364,102.90893387333364,102.90893387333364,102.90893387333364,102.90893387333364,102.90893387333364,102.90893387333364,102.90893387333364,102.90893387333364,102.90893387333364
2006-01-19 00:00:00,101.52595431242702,101.52595431242702,101.69082423868383,102.11389872136976,102.96004768674166,103.03242650561705,103.03242650561705,103.03242650561705,103.03242650561705,103.03242650561705,103.03242650561705,103.03242650561705,103.03242650561705,103.03242650561705,103.03242650561705
2006-01-20 00:00:00,101.59345221443547,101.59345221443547,101.74351339483482,102.12858699624964,102.89873419907926,102.96461189577597,102.96461189577597,102.96461189577597,102.96461189577597,102.96461189577597,102.96461189577597,102.96461189577597,102.96461189577597,102.96461189577597,102.96461189577597
