,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,12m,13m,14m,15m,16m,17m,18m,19m,20m,21m,22m,23m,24m,25m,26m,27m,28m,29m,30m,31m,32m,33m,34m,35m,36m,37m,38m,39m,40m,41m,42m,43m,44m,45m,46m,47m,48m,49m,50m,51m,52m,53m,54m,55m,56m,57m,58m,59m,60m,61m,62m,63m,64m,65m,66m,67m,68m,69m,70m,71m,72m,73m,74m,75m,76m,77m,78m,79m,80m,81m,82m,83m,84m,85m,86m,87m,88m,89m,90m,91m,92m,93m,94m,95m,96m,97m,98m,99m,100m,101m,102m,103m,104m,105m,106m,107m,108m,109m,110m,111m,112m,113m,114m,115m,116m,117m,118m,119m,120m,121m,122m,123m,124m,125m,126m,127m,128m,129m
2003-01-17,,,0.2607392993792441,0.26589836763619873,0.27105743589315334,0.276216504150108,0.2813755724070626,0.28653464066401724,0.28378286606637554,0.27616288048128984,0.2685428948962042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-20,,,0.25596666666666645,0.26206666666666645,0.26816666666666644,0.27426666666666644,0.28036666666666643,0.2864666666666664,0.2862028872929856,0.2827572182324643,0.27931154917194306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-21,,,0.27138737886123815,0.2746249017793822,0.2778624246975263,0.2810999476156704,0.2843374705338145,0.2875749934519586,0.2862713967550413,0.28315135221209947,0.2800313076691577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-22,,,0.2716114875653863,0.2748356581210852,0.27805982867678414,0.2812839992324831,0.284508169788182,0.28773234034388095,0.28637105775549665,0.28357682105958637,0.28078258436367604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-23,,,0.27802104983862863,0.2800399301449479,0.28205881045126713,0.2840776907575864,0.2860965710639056,0.2881154513702249,0.2868980644871653,0.28491920297131074,0.2829403414554561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-24,,,0.28260040883625126,0.28374755156253567,0.28489469428882014,0.28604183701510455,0.28718897974138896,0.28833612246767343,0.29026033509316346,0.2923140593685212,0.29436778364387883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-27,,,0.29013491607605885,0.28981404469664546,0.289493173317232,0.28917230193781857,0.2888514305584052,0.28853055917899173,0.29245779196180477,0.2968321936037995,0.30120659524579424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-28,,,0.2770582027564571,0.27932497390847966,0.2815917450605022,0.2838585162125248,0.28612528736454734,0.2883920585165699,0.28142667800838717,0.27399968991719414,0.2665727018260011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-29,,0.2930039540048919,0.2922532950040766,0.2915026360032613,0.29075197700244604,0.29000131800163076,0.2892506590008155,0.2885000000000002,0.29356464826527945,0.2986292965305587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-30,,0.29193520150970753,0.2913580876560767,0.2907809738024458,0.2902038599488149,0.2896267460951841,0.28904963224155317,0.2883457177393375,0.2851057902654248,0.28186586279151216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
