,LTN NTNF 0.5y,LTN NTNF 1y,LTN NTNF 1.5y,LTN NTNF 2y,LTN NTNF 3y,LTN NTNF 4y,LTN NTNF 5y,LTN NTNF 6y,LTN NTNF 7y,LTN NTNF 8y,LTN NTNF 9y,LTN NTNF 10y
2006-01-02 00:00:00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-01-03 00:00:00,100.07956745070028,99.99110696522612,99.99110696522612,99.99110696522612,99.99110696522612,99.99110696522612,99.99110696522612,99.99110696522612,99.99110696522612,99.99110696522612,99.99110696522612,99.99110696522612
2006-01-04 00:00:00,100.15654377232443,100.09456475623955,100.09456475623955,100.09456475623955,100.09456475623955,100.09456475623955,100.09456475623955,100.09456475623955,100.09456475623955,100.09456475623955,100.09456475623955,100.09456475623955
2006-01-05 00:00:00,100.22290619028792,100.16223694892331,100.16223694892331,100.16223694892331,100.16223694892331,100.16223694892331,100.16223694892331,100.16223694892331,100.16223694892331,100.16223694892331,100.16223694892331,100.16223694892331
2006-01-06 00:00:00,100.28725016838598,100.23416819491948,100.23416819491948,100.23416819491948,100.23416819491948,100.23416819491948,100.23416819491948,100.23416819491948,100.23416819491948,100.23416819491948,100.23416819491948,100.23416819491948
2006-01-09 00:00:00,100.35298099126307,100.29731908809819,100.29731908809819,100.29731908809819,100.29731908809819,100.29731908809819,100.29731908809819,100.29731908809819,100.29731908809819,100.29731908809819,100.29731908809819,100.29731908809819
2006-01-10 00:00:00,100.42853866175487,100.38788712797796,100.38788712797796,100.38788712797796,100.38788712797796,100.38788712797796,100.38788712797796,100.38788712797796,100.38788712797796,100.38788712797796,100.38788712797796,100.38788712797796
2006-01-11 00:00:00,100.51370528780637,100.55219552941345,100.55219552941345,100.55219552941345,100.55219552941345,100.55219552941345,100.55219552941345,100.55219552941345,100.55219552941345,100.55219552941345,100.55219552941345,100.55219552941345
2006-01-12 00:00:00,100.59603624131333,100.66381966595904,100.66381966595904,100.66381966595904,100.66381966595904,100.66381966595904,100.66381966595904,100.66381966595904,100.66381966595904,100.66381966595904,100.66381966595904,100.66381966595904
2006-01-13 00:00:00,100.65804814663124,100.72505833097748,100.72505833097748,100.72505833097748,100.72505833097748,100.72505833097748,100.72505833097748,100.72505833097748,100.72505833097748,100.72505833097748,100.72505833097748,100.72505833097748
2006-01-16 00:00:00,100.73799856319842,100.84234376772851,100.84234376772851,100.84234376772851,100.84234376772851,100.84234376772851,100.84234376772851,100.84234376772851,100.84234376772851,100.84234376772851,100.84234376772851,100.84234376772851
2006-01-17 00:00:00,100.81922533078308,100.95342165859284,100.95342165859284,100.95342165859284,100.95342165859284,100.95342165859284,100.95342165859284,100.95342165859284,100.95342165859284,100.95342165859284,100.95342165859284,100.95342165859284
2006-01-18 00:00:00,100.89703430307841,101.06606334322576,101.06606334322576,101.06606334322576,101.06606334322576,101.06606334322576,101.06606334322576,101.06606334322576,101.06606334322576,101.06606334322576,101.06606334322576,101.06606334322576
2006-01-19 00:00:00,100.94735033482611,101.08441147628334,101.08441147628334,101.08441147628334,101.08441147628334,101.08441147628334,101.08441147628334,101.08441147628334,101.08441147628334,101.08441147628334,101.08441147628334,101.08441147628334
