,DDI 0.5y,DDI 1y,DDI 1.5y,DDI 2y,DDI 3y,DDI 4y,DDI 5y,DDI 6y,DDI 7y,DDI 8y
2006-06-01 00:00:00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-06-02 00:00:00,100.9076245486642,101.07866239061175,101.1107216086505,101.13344153321492,101.15186860747772,101.1268019719268,101.04181535713496,100.98774131671873,101.00019731501283,101.10438723068373
2006-06-05 00:00:00,99.99898959090581,100.02180869406192,100.04912393160487,100.0489235381607,99.96363846635221,99.91238870233764,99.83757920212656,99.73111528680047,99.77861619146957,99.89366150608896
2006-06-06 00:00:00,100.14077440513567,100.19608339126327,100.23526682663463,100.23212861523739,100.19081773446618,100.20607207567119,100.212554477496,100.12880641961854,100.06169388353936,100.07222456999554
2006-06-07 00:00:00,99.41036219386834,99.35471979972776,99.39983125690623,99.44715967201785,99.49905069789047,99.5830581054875,99.72432653066068,99.79566986214797,99.89673742103344,99.97836552087465
2006-06-08 00:00:00,100.45867508648534,100.63008218681513,100.74728778032306,100.85931147252036,101.02691625498764,101.13744957597991,101.20795504726738,101.14770804922487,101.165230560201,101.30706618792563
2006-06-09 00:00:00,100.03920738381672,100.15118614543812,100.27689535570187,100.37421608736095,100.54622202957329,100.68688112595927,100.7230799716759,100.62409077338256,100.54304871713802,100.51862819016213
2006-06-12 00:00:00,101.15322996014157,101.45087470188058,101.58708827033601,101.63681716461025,101.70934254086305,101.74982925455933,101.6533184131057,101.45290079980616,101.31850421197556,101.31969844000609
2006-06-13 00:00:00,101.93047649972445,102.34552164719764,102.47463635084978,102.50503772351948,102.52355737131033,102.52763791859796,102.4974709076495,102.3612415535246,102.20160937778124,102.11775336769414
2006-06-14 00:00:00,100.88897816051416,101.1339460483836,101.25740256405585,101.28823251519101,101.29490078234235,101.27415472169632,101.20108454928248,101.05954316627304,100.90240358806369,100.6622108529614
2006-06-16 00:00:00,99.5317557089257,99.56099468211733,99.68409842215148,99.71178618358205,99.72299473284303,99.67740695250315,99.52162518747437,99.33236155234243,99.1811969743694,99.02000467788392
2006-06-19 00:00:00,99.53615116602856,99.5624201322217,99.68116415504959,99.70592108094382,99.69156830374476,99.61464065768332,99.5082866599753,99.37570347922332,99.22260347810332,99.06966238200374
2006-06-20 00:00:00,99.41657405850415,99.42116447216263,99.53670136792562,99.55543830956414,99.53725385828217,99.44041382591385,99.32346669439316,99.19955015305678,99.03307050106541,98.9522324502596
2006-06-21 00:00:00,98.77059768442301,98.67706621170198,98.79784999234991,98.81055639678917,98.79097757612838,98.69612466647432,98.54745977483563,98.40023628754084,98.1953564980608,98.11248488613727
