,FRC 0.5y,FRC 1y,FRC 1.5y,FRC 2y,FRC 3y,FRC 4y,FRC 5y,FRC 6y,FRC 7y,FRC 8y
2006-06-01 00:00:00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-06-02 00:00:00,100.02657677151925,100.05776575995172,100.08982497799046,100.11254490255489,100.13097197681768,100.10590534126678,100.02091872647493,99.96684468605868,99.97930068435281,100.08349060002371
2006-06-05 00:00:00,100.08578186168617,100.1223775157598,100.14969275330276,100.14949235985858,100.0642072880501,100.01295752403551,99.93814802382445,99.83168410849835,99.87918501316746,99.99423032778685
2006-06-06 00:00:00,100.0769153065818,100.1220879278596,100.16127136323094,100.15813315183372,100.11682227106249,100.1320766122675,100.13855901409232,100.05481095621487,99.98769842013567,99.99822910659186
2006-06-07 00:00:00,100.07269825996735,100.1221885747314,100.16730003190986,100.2146284470215,100.2665194728941,100.35052688049113,100.49179530566433,100.56313863715162,100.66420619603707,100.7458342958783
2006-06-08 00:00:00,100.0358256579067,100.14011380131925,100.25731939482718,100.36934308702448,100.53694786949178,100.64748119048404,100.7179866617715,100.657739663729,100.67526217470511,100.81709780242976
2006-06-09 00:00:00,100.02415995624595,100.13375023730056,100.25945944756431,100.3567801792234,100.52878612143573,100.66944521782172,100.70564406353837,100.60665486524502,100.52561280900049,100.50119228202456
2006-06-12 00:00:00,100.06163946897354,100.18601587878108,100.32222944723651,100.37195834151076,100.44448371776355,100.48497043145984,100.3884595900062,100.18804197670666,100.05364538887606,100.0548396169066
2006-06-13 00:00:00,100.08483393895983,100.2069199498037,100.33603465345584,100.36643602612556,100.3849556739164,100.38903622120402,100.35886921025556,100.22263985613067,100.06300768038732,99.97915167030021
2006-06-14 00:00:00,100.05037794840841,100.16223469149912,100.28569120717137,100.31652115830657,100.32318942545788,100.30244336481184,100.22937319239803,100.08783180938858,99.9306922311792,99.69049949607694
2006-06-16 00:00:00,100.03599484799051,100.14527177976383,100.26837551979798,100.29606328122858,100.30727183048955,100.26168405014965,100.1059022851209,99.91663864998897,99.76547407201592,99.60428177553047
2006-06-19 00:00:00,100.06157226286342,100.17124140315732,100.28998542598521,100.31474235187947,100.3003895746804,100.22346192861895,100.11710793091095,99.98452475015894,99.83142474903894,99.67848365293939
2006-06-20 00:00:00,100.09287281620328,100.20481223902034,100.32034913478331,100.33908607642188,100.32090162513991,100.22406159277156,100.10711446125089,99.98319791991447,99.81671826792312,99.73588021711734
2006-06-21 00:00:00,100.06352247363371,100.17521715793022,100.29600093857815,100.30870734301742,100.28912852235666,100.19427561270255,100.0456107210639,99.89838723376906,99.69350744428907,99.61063583236553
2006-06-22 00:00:00,100.06193099385824,100.16071844525133,100.26645994523585,100.24163642333619,100.11925575826352,99.96316750281291,99.80637977081447,99.57718832169736,99.32938712878278,99.17596383070685
2006-06-23 00:00:00,100.0294025120726,100.11918214111735,100.22035367902468,100.19994105862492,100.0754474587967,99.9117481649395,99.7155714473839,99.42159221199026,99.18811555116218,99.15776394359429
2006-06-26 00:00:00,100.00193512031204,100.07864493245306,100.16946317701455,100.15498397168241,100.02045473788274,99.75654702432608,99.44707234923754,99.14924790536266,98.86802172092534,98.74016971103394
2006-06-27 00:00:00,100.00403429680584,100.09709862456194,100.20696107136514,100.19566817515471,100.08339190702173,99.83720725490046,99.49424402983112,99.13829938774884,98.81554885653323,98.72772207687132
