date;CDS Argentina;CDS Australia;CDS Austria;CDS Belgium;CDS Brazil;CDS Chile;CDS China;CDS Colombia;CDS Denmark;CDS Finland;CDS France;CDS Germany;CDS Greece;CDS Hungary;CDS Indonesia;CDS Ireland;CDS Italy;CDS Japan;CDS Kazakhstan;CDS Korea;CDS Malaysia;CDS Mexico;CDS Netherlands;CDS Panama;CDS Peru;CDS Philippines;CDS Poland;CDS Portugal;CDS Qatar;CDS Russia;CDS Saudi Arabia;CDS South Africa;CDS Spain;CDS Sweden;CDS Thailand;CDS Turkey;CDS Ukraine;CDS United Kingdom;CDS United States;CDS Venezuela
2009-10-14;103.3729251043;100.0400295812;100.0634793422;99.9432201274;100.7822924404;101.2081878018;100.0037566777;100.6669594133;100.1685674923;100.0335780221;100.0460241329;100.0461087093;99.9540160503;;100.6257413112;100.3063966462;100.1233762623;99.921559387;101.3872511715;100.4050445097;100.0243002604;100.8741043436;100.1491046503;100.8712527475;100.8064365538;100.7585731226;100.5046269041;99.4382188103;100.1123412583;102.3867579668;100.0743538758;101.4436528455;99.9823875064;99.9317743491;99.8026759966;101.4145053966;98.7128521645;100.1452408204;146.1953678382;98.5123541295
2009-10-15;103.0677306599;100.0110236646;100.0843141065;99.9649302837;100.6405969853;101.2267026865;100.1542250453;100.5669871779;100.1885712975;100.014619859;100.0325989038;100.0480797;99.9853995313;;101.1054255622;100.2900104334;99.9739949564;99.9738950089;101.3175073359;100.7007064447;100.2569058107;100.6469825053;100.1508235709;100.7377714285;100.6721259118;101.1843298222;100.5702353492;99.4198080415;100.1656380228;102.3060578454;100.0807343263;101.3747597545;99.9850843224;99.9240892487;99.799272212;101.3408308948;98.7472510594;100.1253032595;146.213402693;97.8800369118
2009-10-16;102.8044962554;100.0634593165;100.0767684739;;100.4780604156;101.2280101293;100.1360626905;100.3744364868;;99.99760146;100.0324791895;100.0523868765;99.9491103734;;101.2013356047;100.2921870992;99.9597511394;99.9915163883;101.2167762657;100.7166217542;100.2584919631;100.4261460121;100.1586749391;100.5868245676;100.5301245837;101.125704465;100.568971947;99.4172264052;100.1954536338;102.0643912509;100.1161665433;101.1893792552;99.9984395559;99.9294218797;99.6571811136;101.0921254342;100.8494060356;100.2009886228;146.2068524774;97.6233216356
2009-10-19;102.8312987706;100.0117756106;100.0889688369;;100.6241049126;101.2413221816;100.0553315959;100.5263999957;;100.040303413;100.0557936945;100.0640517128;99.9433118902;;100.9040930281;100.3426506901;99.9677252492;99.9414137253;101.3991087263;100.6566668892;100.1336479913;100.5594198469;100.177745643;100.6375583054;100.6540181975;100.9995855341;100.6051332219;99.417028002;100.2005598292;102.2237515911;100.0822723111;101.2402432382;100.0099325919;100.0224073266;99.5120655682;101.1708486925;100.4134087898;100.0937027271;146.1839714633;97.6979079355
2009-10-20;103.3399070276;100.0151235563;100.1335737943;;100.4199658402;101.2458119706;100.0660879479;100.3042772674;;100.0812969802;100.0949518551;100.0751125227;99.9300727479;;100.8833600356;100.6634791153;99.9685502104;99.9436155154;101.4355676693;100.5841111279;100.0921815787;100.4679193024;100.1803740999;100.4236645962;100.4650307988;100.9472464126;100.5738841537;99.4292289688;100.2098761415;102.0450324541;100.0680636987;101.2117399213;100.1626883535;99.9655283758;99.2797683228;100.9959899573;101.6283385064;100.1958371654;146.1842938023;98.2980090383
2009-10-21;103.6681178395;100.0213377605;100.2799927981;;100.2910114716;100.774634456;99.8286268681;99.9708843171;;100.0890568878;100.1040275502;100.0853679795;99.9171812882;;100.5355644913;100.2901831111;99.9412736472;99.8677916871;101.1329635185;100.3288942031;99.8590982033;100.2156375026;100.1824084856;100.3081734113;100.2638736856;100.4676590741;100.3771329082;99.4433435064;100.2059201075;101.859109003;100.1338600305;100.9384171877;100.0125503402;99.9952424655;99.0182894319;100.9487487701;101.5900658632;100.3046589024;146.5319518665;98.6168285061
2009-10-22;103.981902447;100.0203173961;100.276673472;;100.1678607202;100.7723099023;99.6978988899;99.9407233492;;100.0900917316;100.0974604682;100.0710308701;100.009568299;;100.066024635;100.2816340456;99.8923621251;99.8060707249;101.0809209281;100.2119894224;99.7220254906;100.3084656711;100.2088879223;100.2374612174;100.185495745;100.1413513203;100.3119718785;99.4439903161;100.2074655309;101.432164516;100.1322070702;100.6872157735;100.0018024359;99.9632723492;98.6379181324;100.7311533376;101.861740173;100.2401858154;146.2072634719;98.4632509682
2009-10-23;104.6544440864;100.0704127799;100.2955512009;;99.9354846564;100.6991531538;99.8324774013;99.9258924594;100.1508059733;100.1079943096;100.1094836339;100.072975975;99.7246757837;;100.6396322152;100.3418366152;99.8847245708;99.8040215354;101.1399760702;100.4466676102;99.865039372;99.9933349438;100.2508973066;100.172558838;100.1973027668;100.5383430806;100.3829061086;99.4120853319;100.2542015563;101.4388932889;100.165901119;100.6580143697;99.9783465794;99.9504877275;98.9474900723;100.7857427266;101.7299099791;100.028810297;146.263030249;98.7212127903
2009-10-26;103.5676217009;100.0653750249;100.3285860745;;99.6536915363;100.498870601;99.8375397273;99.4658001074;100.1539026923;100.0880421397;100.1152096451;100.0646055761;99.6042639319;;100.5928672207;100.3511833787;99.9726919497;99.794732914;101.067348986;100.4975829406;99.8534955226;99.465257495;100.2275413092;99.7507630167;99.662755224;100.5756971195;100.3940180959;99.4269639005;100.2548345948;101.3860301586;100.2073279142;100.4249472935;99.9711924395;99.9484430975;98.9731601989;100.6612795915;101.3834367092;100.1386117871;146.2876909559;98.2412728103
2009-10-27;103.4916863295;100.0582294168;100.3026018123;;99.5036600927;100.1760573876;99.6985963788;99.3126900834;100.1514428814;100.0720341422;100.0874631302;100.0598417233;99.630789229;;100.3629963446;100.2457331593;99.86355645;99.6818376771;100.88255665;100.4464883823;99.7660712598;99.217979612;100.2361088276;99.6230756413;99.600172746;100.2377982079;100.3081923487;99.4105295202;100.2250757721;101.1864568744;100.1867484267;100.0577789156;99.966891907;99.9475528046;98.8679260829;100.368403976;101.2824914992;100.0324198424;146.198703696;97.9346374514
