,DI 0.5y,DI 1y,DI 1.5y,DI 2y,DI 3y,DI 4y,DI 5y,DI 6y,DI 7y,DI 8y,DI 9y,DI 10y
2008-01-02 00:00:00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2008-01-03 00:00:00,100.03751845826301,100.07503691652599,100.12827570769522,100.18176805262105,100.24640968398779,100.48407644841114,100.50837374292566,100.50303461683365,100.50366871540783,100.57531354912507,100.68625084298839,100.76205599493471
2008-01-04 00:00:00,99.99607293824556,99.99214587649111,100.01914069720353,100.04663425795572,100.10640682853537,100.29614463762337,100.27857131241007,100.30502958196075,100.26200693025281,100.36679891728107,100.2926415065263,100.32368934355581
2008-01-07 00:00:00,99.98593266405527,99.97186532811054,100.01256607059241,100.05415016917794,100.20595624714913,100.44412843501921,100.50635981837395,100.49813271339116,100.45491763134933,100.44774550337117,100.61969342564211,100.68653776091027
2008-01-08 00:00:00,100.00673607901504,100.01347215803007,100.09151935840192,100.17071673815047,100.38476828659046,100.62304693560166,100.73468424811546,100.71949937733942,100.85733416621252,101.10139165785391,101.14900016294898,101.27454434613551
2008-01-09 00:00:00,99.99731891817898,99.99463783635797,100.0476120240685,100.10148387741661,100.23152845445479,100.42566247701028,100.42191388426946,100.45822760088419,100.46917641156254,100.67418657763619,100.83351695372689,100.92284567138684
2008-01-10 00:00:00,99.97904639995897,99.95809279991794,99.97462370751212,99.9917592039391,99.95355490360572,100.24330604780796,100.16078477033298,100.19888004837222,100.19596117743748,100.21789737362975,100.23946265310826,100.261508020661
2008-01-11 00:00:00,100.01264892128839,100.02529784257675,100.0786413432974,100.13264120820241,100.21342311607685,100.45736192168607,100.41293321339215,100.4559790858104,100.54514095924591,100.79321873891261,100.8468966079448,100.93625152152691
2008-01-14 00:00:00,100.01397277496763,100.02794554993525,100.05920227706416,100.09073777761498,100.13150767082676,100.31868903462706,100.36172035443289,100.4255753212167,100.55146375672334,100.69647044463571,101.02783109219092,101.13977431185724
2008-01-15 00:00:00,100.03911487005271,100.07822974010539,100.11040665331622,100.14247166399727,100.2339780558103,100.49050733798393,100.54617495424728,100.6987795061762,100.86956202594767,100.98515985281593,101.0611742349727,101.17320895837118
2008-01-16 00:00:00,100.03646716269417,100.07293432538835,100.07096120787322,100.06836808583854,100.0652059921865,100.21223178678713,100.19883220635262,100.33227539210476,100.44084040078761,100.63459692122416,100.62587498435978,100.68817605428463
2008-01-17 00:00:00,100.04607344548441,100.09214689096882,100.05903507853185,100.02464608451542,99.8616278907712,99.96893589005333,99.85365825248341,99.99413909949855,100.04442236384139,100.0712541879639,99.79493405504714,99.76351713221472
2008-01-18 00:00:00,100.0669157973171,100.13383159463417,100.11294823338245,100.09064875666985,99.97295413376895,99.98844614422921,99.81564368232485,99.86930269183841,99.95883507279524,99.97274950442177,99.72263638430073,99.6824042876702
2008-01-21 00:00:00,100.01154756402576,100.02309512805155,99.84732661234725,99.66853686955045,99.24908351766425,99.13677016993788,98.64416521548075,98.43697101396315,98.4958277361049,98.22384003773233,97.76761105783015,97.51141254406208
2008-01-22 00:00:00,100.04461609395511,100.08923218791026,99.96049675509018,99.82896532990267,99.43830976849118,99.3004106616215,98.95659029115568,98.88611321663103,98.83820570882362,98.58747555835767,98.32018604298244,98.1022482957397
2008-01-23 00:00:00,100.04827059759913,100.09654119519826,99.92173320879502,99.74332718071422,99.26389378882938,99.0562819619899,98.74714939074336,98.63231594175005,98.45071786240719,98.17792945092506,97.78303395718231,97.52678333360505
2008-01-24 00:00:00,100.07861354642414,100.15722709284826,100.1384642370657,100.11813079415069,99.9740574580527,99.87471301185319,99.88918134455234,100.00452116198522,100.11222778402676,100.04054567187625,99.9519430675195,99.93414653246877
2008-01-28 00:00:00,100.08466544895789,100.16933089791577,100.23960798359535,100.3096529988994,100.30222337295534,100.48335321228373,100.52010749276089,100.79350459877021,101.02775470220806,101.19144798409,101.12675996233776,101.23957347831077
2008-01-29 00:00:00,100.07355175294462,100.14710350588925,100.20564634369701,100.26394710222829,100.204057423913,100.41657478217448,100.39670666814118,100.60770967593061,100.7540215238687,100.94829468418952,100.8919642962287,100.9774759481592
2008-01-30 00:00:00,100.0709652321007,100.14193046420138,100.2057370873139,100.269428248991,100.22359589030843,100.43490470981124,100.42188261337854,100.61414086103886,100.739466733363,100.77911422170793,100.8986686421383,100.98416163847664
2008-01-31 00:00:00,100.04472734216345,100.08945468432694,100.14828485885499,100.20734249842107,100.13876566697317,100.34811956317506,100.31814470884254,100.48838823583624,100.66337350195958,100.71276337329465,100.66459659055617,100.7229165987016
2008-02-01 00:00:00,100.03123293449171,100.06246586898342,100.16236026673694,100.26336210744617,100.30173167520702,100.52993158589535,100.6781256886565,100.94830801565426,101.30477884158701,101.5414276982734,101.55727898075168,101.71605429977825
2008-02-06 00:00:00,100.01796102323664,100.03592204647326,100.12381523538947,100.21283636246166,100.2299007929097,100.44951726967827,100.52916651110067,100.71436799102088,100.9680155551988,101.26003851106233,101.16136152012936,101.36257476982568
2008-02-07 00:00:00,100.04499990027391,100.08999980054782,100.20865590101216,100.3285000047053,100.45775274491714,100.67184005042228,100.73500289542227,101.01374153210972,101.28637266748831,101.48312607213848,101.52981666292324,101.68402709335358
2008-02-08 00:00:00,100.0786024216033,100.15720484320661,100.32081686764076,100.48580001470108,100.66007342437217,100.96907458695925,101.00698595440988,101.34042252116078,101.60624687407308,101.85161340612736,102.14504487426564,102.36892673849513
