,1y ahead,2y ahead,3y ahead,4y ahead
2007-01-02,11.745379876796715,10.993839835728952,10.0,9.993839835728952
2007-01-03,11.743326488706366,10.991101984941821,10.0,9.991101984941821
2007-01-04,11.741273100616016,10.988364134154688,10.0,9.988364134154688
2007-01-05,11.739219712525667,10.985626283367555,10.0,9.985626283367557
2007-01-08,11.73305954825462,10.977412731006162,10.0,9.97741273100616
2007-01-09,11.73100616016427,10.974674880219029,10.0,9.974674880219029
2007-01-10,11.728952772073923,10.971937029431896,10.0,9.971937029431896
2007-01-11,11.726899383983572,10.969199178644764,10.0,9.969199178644764
2007-01-12,11.724845995893224,10.966461327857632,10.0,9.966461327857632
2007-01-15,11.718685831622176,10.958247775496234,10.0,9.958247775496236
2007-01-16,11.601971252566734,10.955509924709103,10.0,9.955509924709103
2007-01-17,11.600246406570843,10.95277207392197,10.0,9.952772073921972
2007-01-18,11.47501711156742,10.950034223134839,10.0,9.950034223134839
2007-01-19,11.473648186173854,10.947296372347706,10.0,9.947296372347708
2007-01-22,11.469541409993155,10.93908281998631,10.0,9.93908281998631
2007-01-23,11.702258726899384,10.93634496919918,10.0,9.936344969199178
2007-01-24,11.700205338809036,10.933607118412047,10.0,9.933607118412047
2007-01-25,11.698151950718685,10.930869267624914,10.0,9.930869267624916
2007-01-26,11.696098562628336,10.928131416837783,10.0,9.928131416837783
2007-01-29,11.68993839835729,10.919917864476385,10.0,9.919917864476385
2007-01-30,11.68788501026694,10.917180013689254,10.0,9.917180013689254
2007-01-31,11.685831622176591,10.914442162902121,10.0,9.914442162902121
2007-02-01,11.455852156057496,10.911704312114988,10.0,9.91170431211499
2007-02-02,11.454483230663929,10.908966461327857,10.0,9.908966461327857
2007-02-05,11.438466803559207,10.792662559890486,10.0,9.900752908966462
2007-02-06,11.423511293634498,10.673511293634498,10.0,9.898015058179329
2007-02-07,11.408891170431213,10.564024640657085,10.0,9.895277207392196
2007-02-08,11.406509240246407,10.562299794661191,10.0,9.892539356605065
2007-02-09,11.389801505817932,10.444900752908968,10.0,9.889801505817932
2007-02-12,11.381587953456537,10.440793976728267,9.970396988364135,9.661190965092402
2007-02-13,11.378850102669404,10.439425051334702,9.969712525667351,9.659137577002053
2007-02-14,11.376112251882272,10.438056125941136,9.969028062970569,9.657084188911703
2007-02-15,11.37337440109514,10.43668720054757,9.968343600273785,9.655030800821354
2007-02-16,11.37063655030801,10.435318275154003,9.967659137577002,9.652977412731007
2007-02-21,11.356947296372347,10.428473648186174,9.928473648186174,9.428473648186175
2007-02-22,11.354209445585216,10.427104722792608,9.927104722792608,9.427104722792608
2007-02-23,11.351471594798085,10.42573579739904,9.925735797399042,9.425735797399042
2007-02-26,11.343258042436688,10.421629021218344,9.921629021218344,9.421629021218344
2007-02-27,11.340520191649555,10.420260095824776,9.920260095824776,9.420260095824778
2007-02-28,11.337782340862423,10.418891170431213,9.918891170431213,9.41889117043121
2007-03-01,11.33504449007529,10.417522245037645,9.917522245037645,9.417522245037645
2007-03-02,11.33230663928816,10.416153319644078,9.95807665982204,9.624229979466119
2007-03-05,11.324093086926762,10.412046543463381,10.0,9.824093086926762
2007-03-06,11.321355236139631,10.410677618069816,10.0,9.82135523613963
2007-03-07,11.318617385352498,10.40930869267625,10.0,9.818617385352498
2007-03-08,11.315879534565365,10.407939767282684,10.0,9.815879534565365
2007-03-09,11.313141683778234,10.406570841889117,10.0,9.813141683778234
2007-03-12,11.304928131416837,10.402464065708418,9.951232032854211,9.60369609856263
2007-03-13,11.302190280629706,10.401095140314853,9.950547570157426,9.60164271047228
2007-03-14,11.299452429842573,10.399726214921287,9.949863107460644,9.59958932238193
2007-03-15,11.296714579055443,10.39835728952772,9.94917864476386,9.597535934291582
2007-03-16,11.293976728268309,10.396988364134156,10.0,9.793976728268309
2007-03-19,11.285763175906913,10.392881587953456,10.0,9.785763175906913
2007-03-20,11.28302532511978,10.39151266255989,10.0,9.783025325119782
2007-03-21,11.280287474332649,10.390143737166325,10.0,9.780287474332649
2007-03-22,11.277549623545518,10.388774811772757,10.0,9.777549623545518
2007-03-23,11.274811772758383,10.387405886379193,10.0,9.774811772758385
2007-03-26,11.266598220396988,10.383299110198493,10.0,9.766598220396988
2007-03-27,11.263860369609857,10.38193018480493,10.0,9.763860369609857
2007-03-28,11.261122518822724,10.380561259411362,10.0,9.761122518822724
2007-03-29,11.25838466803559,10.379192334017795,10.0,9.758384668035593
2007-03-30,11.255646817248461,10.37782340862423,10.0,9.75564681724846
2007-04-02,11.247433264887064,10.373716632443532,10.0,9.747433264887064
2007-04-03,11.244695414099931,10.372347707049967,10.0,9.744695414099931
2007-04-04,11.241957563312798,10.3709787816564,10.0,9.741957563312798
2007-04-05,11.239219712525667,10.369609856262834,10.0,9.739219712525667
2007-04-09,11.046201232032855,10.36413415468857,9.932067077344286,9.546201232032853
2007-04-10,11.044147843942504,10.362765229295004,10.0,9.725530458590008
2007-04-11,11.042094455852155,10.361396303901437,9.861396303901437,9.361396303901437
2007-04-12,11.040041067761805,10.360027378507871,9.860027378507871,9.360027378507871
2007-04-13,11.037987679671458,10.358658453114305,9.858658453114305,9.358658453114305
2007-04-16,11.03182751540041,10.354551676933607,9.854551676933607,9.354551676933607
2007-04-17,11.029774127310061,10.353182751540041,9.853182751540041,9.353182751540041
2007-04-18,11.027720739219713,10.351813826146476,9.851813826146476,9.351813826146476
2007-04-19,11.025667351129364,10.275667351129364,9.525667351129364,9.0
2007-04-20,11.023613963039015,10.273613963039015,9.523613963039015,9.0
2007-04-23,11.017453798767967,10.267453798767967,9.517453798767967,9.0
2007-04-24,10.937200547570157,10.015400410677618,9.343600273785079,9.0
2007-04-25,10.934462696783026,10.013347022587268,9.342231348391513,9.0
2007-04-26,10.893531827515401,9.929486652977413,9.340862422997947,9.0
2007-04-27,10.84873374401095,9.83949349760438,9.33949349760438,8.88122518822724
2007-04-30,10.838466803559205,9.835386721423681,9.335386721423681,8.878186173853525
2007-05-02,10.831622176591376,9.83264887063655,9.33264887063655,8.876160164271047
2007-05-03,10.82819986310746,9.831279945242985,9.331279945242985,8.875147159479809
2007-05-04,10.824777549623546,9.829911019849419,9.329911019849419,8.704045174537988
2007-05-07,10.814510609171801,9.82580424366872,9.32580424366872,8.696899383983574
2007-05-08,10.811088295687885,9.782299794661192,9.246570841889117,8.736652977412732
2007-05-09,10.646132785763175,9.734599589322382,9.161533196440793,8.692135523613963
2007-05-10,10.643394934976044,9.732546201232033,9.160848733744011,8.732546201232033
2007-05-11,10.640657084188911,9.730492813141684,9.160164271047227,8.730492813141684
2007-05-14,10.632443531827516,9.724332648870638,9.15811088295688,8.724332648870636
2007-05-15,10.629705681040384,9.722279260780287,9.157426420260096,8.722279260780288
2007-05-16,10.626967830253252,9.720225872689937,9.156741957563312,8.768720054757017
2007-05-17,10.624229979466119,9.718172484599588,9.15605749486653,8.767022587268995
2007-05-18,10.46611909650924,9.71611909650924,9.155373032169747,8.810746064339494
2007-05-21,10.459958932238193,9.709958932238193,9.153319644079398,8.806639288158795
2007-05-22,10.457905544147843,9.707905544147845,9.152635181382614,9.0
2007-05-23,10.455852156057496,9.705852156057496,9.151950718685832,9.0
2007-05-24,10.453798767967147,9.703798767967147,9.151266255989048,8.802532511978097
2007-05-25,10.451745379876797,9.701745379876796,9.150581793292265,8.801163586584531
2007-05-28,10.44558521560575,9.64687885010267,9.077234770704997,8.797056810403832
2007-05-29,10.4435318275154,9.644496919917865,9.07687885010267,8.795687885010267
2007-05-30,10.441478439425051,9.691478439425051,9.147159479808352,8.794318959616701
2007-05-31,10.439425051334702,9.639733059548256,9.076167008898015,8.792950034223136
2007-06-01,10.437371663244353,9.63735112936345,9.075811088295687,8.791581108829568
2007-06-04,10.431211498973305,9.574948665297741,9.0,8.78747433264887
2007-06-05,10.429158110882955,9.572210814510608,9.0,8.786105407255304
2007-06-06,10.427104722792608,9.569472963723477,9.0,8.784736481861739
2007-06-08,10.42299794661191,9.563997262149213,9.0,8.781998631074607
2007-06-11,10.305783709787816,9.416837782340863,9.0,8.777891854893909
2007-06-12,10.303045859000683,9.414784394250514,9.0,8.776522929500342
2007-06-13,10.300308008213552,9.412731006160165,9.0,8.775154004106776
2007-06-14,10.29757015742642,9.410677618069816,9.0,8.77378507871321
2007-06-15,10.29483230663929,9.408624229979466,9.0,8.772416153319643
2007-06-18,10.286618754277892,9.402464065708418,9.0,8.768309377138946
2007-06-19,10.283880903490761,9.40041067761807,9.0,8.76694045174538
2007-06-20,10.281143052703626,9.39835728952772,9.0,8.765571526351813
2007-06-21,10.278405201916495,9.39630390143737,9.0,8.764202600958248
2007-06-22,10.275667351129364,9.394250513347023,9.0,8.762833675564682
2007-06-25,10.267453798767967,9.388090349075975,8.879363449691992,8.629363449691992
2007-06-26,10.264715947980836,9.386036960985626,8.878678986995208,8.628678986995208
2007-06-27,10.261978097193703,9.383983572895277,8.877994524298426,8.627994524298426
2007-06-28,10.25924024640657,9.38193018480493,8.877310061601642,8.568418891170431
2007-06-29,10.256502395619439,9.37987679671458,8.876625598904859,8.626625598904859
2007-07-02,10.248288843258042,9.373716632443532,8.87457221081451,8.624572210814511
2007-07-03,10.24555099247091,9.371663244353183,8.873887748117728,8.623887748117728
2007-07-04,10.24281314168378,9.369609856262834,8.873203285420946,8.623203285420946
2007-07-05,10.240075290896646,9.367556468172484,8.872518822724162,8.62251882272416
2007-07-06,10.237337440109513,9.365503080082135,8.871834360027378,8.621834360027378
2007-07-09,10.229123887748118,9.359342915811087,8.869780971937029,8.619780971937029
2007-07-10,10.226386036960985,9.35728952772074,8.869096509240247,8.619096509240247
2007-07-11,10.223648186173854,9.355236139630389,8.936837782340863,8.679986310746065
2007-07-12,10.220910335386723,9.353182751540041,9.0,8.73545516769336
2007-07-13,10.218172484599588,9.35112936344969,8.93618069815195,8.677905544147844
2007-07-16,10.209958932238195,9.344969199178646,8.935195071868584,8.674784394250514
2007-07-17,10.207221081451062,9.342915811088297,8.934866529774128,8.673744010951403
