date;2y Note;5y Note;10y Note;10y Note Ultra;30y Bond;30y Bond Ultra
2008-03-06;134.3062919572;174.4136875796;341.9994763833;;249.7124869629;
2008-03-07;134.4626438687;174.9755649243;344.1046518033;;250.7834964421;
2008-03-10;134.5408198245;175.3102024391;346.3013565894;;253.8962850865;
2008-03-11;134.0619920956;173.768117981;342.3655938476;;250.582816041;
2008-03-12;134.2769759738;174.5570677948;345.3402982455;;254.4317898261;
2008-03-13;134.2672039794;174.4136875796;345.0657101472;;253.1598656624;
2008-03-14;134.677627747;175.6927409487;348.8184141568;;256.038304045;
2008-03-17;134.7851196861;176.4578179678;350.9693542598;;257.5777797643;
2008-03-18;134.2769759738;175.0352409317;348.3150026433;;255.7705516752;
2008-03-19;134.3746959185;175.4058370665;350.3744133802;;257.3770658941;
2008-03-20;134.1499400458;175.4417956864;350.9693542598;;259.0838199065;
2008-03-21;;;;;;
2008-03-24;133.5636203777;173.5529759331;346.2555919063;;254.4652254033;
2008-03-25;133.7395162781;173.7203723932;347.1708855672;;255.0341322511;
2008-03-26;133.9545001564;174.1625869103;347.5370030315;;254.4986275114;
2008-03-27;134.0033601288;173.9235840229;346.6674740537;;253.1264635542;
2008-03-28;134.1792560292;174.4375603727;347.6742970807;;253.8962850865;
2008-03-31;134.2476599904;174.7962260892;348.4065320094;;254.4652254033;
2008-04-01;133.8860961952;173.5170173132;344.7911220489;;251.9883821063;
2008-04-02;133.6711123169;173.0149713815;343.9215930711;;251.5867535516;
2008-04-03;133.6417963335;172.931279129;343.9215930711;;251.7877017051;
2008-04-04;133.8470082173;173.7919907756;346.5301800046;;255.1346063279;
2008-04-07;133.6124803501;172.9193367541;344.1046518033;;253.4946565318;
2008-04-08;133.7981482449;173.0986755892;344.0588871202;;253.3271439554;
2008-04-09;134.1206240624;174.2104879051;346.1640625402;;255.8039872524;
2008-04-10;133.925184173;173.6844137733;344.2877105355;;254.9672945658;
2008-04-11;134.1499400458;174.36579854;346.2098272233;;256.339491992;
2008-04-14;134.1108520679;174.2582215377;345.3860629285;;255.5362348826;
2008-04-15;133.925184173;173.7203723932;343.8758283881;;253.6619682939;
2008-04-16;133.5538483833;172.6803338667;341.4960648698;;250.6162181491;
2008-04-17;133.2313725658;172.0824979022;340.8095946242;;249.9468372245;
2008-04-18;133.0847926488;171.7717212254;340.1688890616;;249.4113324849;
2008-04-21;133.1238806267;171.8912286474;340.9011239903;;250.7834964421;
2008-04-22;133.0163886876;171.6402833851;340.4892418429;;250.9510090185;
2008-04-23;133.045704671;171.6164105905;339.9858303294;;250.582816041;
2008-04-24;132.6157369144;170.5644296891;337.7433608603;;248.7085494522;
2008-04-25;132.5961929255;170.3372018144;337.0111259316;;247.6041043958;
2008-04-28;132.733000848;170.6241056966;337.8348902263;;248.5412376901;
2008-04-29;132.7720888259;170.8273173263;337.9721842755;;248.7085494522;
2008-04-30;133.0163886876;171.3533795029;339.2078307176;;250.3818678874;
2008-05-01;132.8014048093;171.1859830412;338.9790073024;;250.917372627;
2008-05-02;132.5766489365;170.5644296891;336.7365378333;;248.9763018221;
2008-05-05;132.6743688812;170.7316826989;337.0568906146;;248.7419515604;
2008-05-06;132.7623168314;170.6720066914;336.370420369;;247.2359114182;
2008-05-07;132.8698087706;171.0185865811;337.1484199807;;247.9386944509;
2008-05-08;133.045704671;171.7120452179;339.1620660346;;250.1141155176;
2008-05-09;133.1043366378;171.9989491001;339.9400656463;;251.1517228887;
2008-05-12;132.9479847263;171.8792982276;339.8485362803;;251.1517228887;
2008-05-13;132.4789289919;170.5284710692;336.5992437842;;248.1396091354;
2008-05-14;132.3323490749;170.1220717201;335.5466560742;;247.4031897113;
2008-05-15;132.5668769421;170.9469681987;337.6518314942;;249.3779303768;
2008-05-16;132.6059649199;170.9708409933;337.468772762;;249.444734593;
2008-05-19;132.7232288536;171.197913461;338.0179489585;;249.7795589315;
2008-05-20;132.9577567208;171.8196222201;339.6654775481;;251.2521969655;
2008-05-21;132.733000848;171.317420883;338.7044192042;;250.5493804638;
