;id;time_stamp;contract;maturity_code;open_interest_open;open_interest_close;number_of_trades;trading_volume;financial_volume;previous_settlement;indexed_settlement;opening_price;minimum_price;maximum_price;average_price;last_price;settlement_price;last_bid;last_offer
1847;433970;2017-01-02;DAP;F17;821;821;0;0;0.0;99634.2;99669.47;0.0;0.0;0.0;0.0;0.0;99632.94;0.0;0.0
1848;433971;2017-01-02;DAP;G17;0;0;0;0;0.0;98942.03;98969.83;0.0;0.0;0.0;0.0;0.0;98933.56;0.0;0.0
1849;433972;2017-01-02;DAP;H17;0;0;0;0;0.0;98494.54;98522.51;0.0;0.0;0.0;0.0;0.0;98486.4;0.0;0.0
1850;433973;2017-01-02;DAP;K17;13698;13698;0;0;0.0;97872.46;97877.53;0.0;0.0;0.0;0.0;0.0;97841.66;0.0;0.0
1851;433974;2017-01-02;DAP;F18;0;0;0;0;0.0;94051.02;94161.52;0.0;0.0;0.0;0.0;0.0;94127.01;0.0;0.0
1852;433975;2017-01-02;DAP;Q18;22415;22415;1;5;543134.0;91029.43;91135.3;5.97;5.97;5.97;5.97;5.97;91101.9;0.0;0.0
1853;433976;2017-01-02;DAP;K19;36720;36720;0;0;0.0;87522.7;87666.09;0.0;0.0;0.0;0.0;0.0;87633.96;0.0;0.0
1854;433977;2017-01-02;DAP;Q20;2790;2790;0;0;0.0;81305.36;81645.65;0.0;0.0;0.0;0.0;0.0;81615.73;0.0;0.0
1855;433978;2017-01-02;DAP;K21;9929;9929;0;0;0.0;77734.42;78253.53;0.0;0.0;0.0;0.0;0.0;78224.85;0.0;0.0
1856;433979;2017-01-02;DAP;Q22;3550;3550;0;0;0.0;72405.57;72565.44;0.0;0.0;0.0;0.0;0.0;72538.85;0.0;0.0
1857;433980;2017-01-02;DAP;K23;11860;11860;0;0;0.0;69506.35;69679.14;0.0;0.0;0.0;0.0;0.0;69653.6;0.0;0.0
1858;433981;2017-01-02;DAP;Q24;5840;5840;0;0;0.0;64948.77;65140.89;0.0;0.0;0.0;0.0;0.0;65117.02;0.0;0.0
1859;433982;2017-01-02;DAP;Q26;1155;1155;0;0;0.0;57577.72;58054.22;0.0;0.0;0.0;0.0;0.0;58032.95;0.0;0.0
1860;433983;2017-01-02;DAP;Q30;235;235;0;0;0.0;46930.11;47417.95;0.0;0.0;0.0;0.0;0.0;47400.57;0.0;0.0
1861;433984;2017-01-03;DAP;F17;821;821;0;0;0.0;99669.47;99708.07;0.0;0.0;0.0;0.0;0.0;99671.53;0.0;0.0
1862;433985;2017-01-03;DAP;G17;0;0;0;0;0.0;98969.83;99207.51;0.0;0.0;0.0;0.0;0.0;99171.15;0.0;0.0
1863;433986;2017-01-03;DAP;H17;0;0;0;0;0.0;98522.51;98564.99;0.0;0.0;0.0;0.0;0.0;98528.87;0.0;0.0
1864;433987;2017-01-03;DAP;K17;13698;13698;3;500;58422735.0;97877.53;97999.03;5.91;5.91;6.0;5.95;6.0;97963.12;0.0;0.0
1865;433988;2017-01-03;DAP;F18;0;0;0;0;0.0;94161.52;94219.84;0.0;0.0;0.0;0.0;0.0;94185.31;0.0;0.0
1866;433989;2017-01-03;DAP;Q18;22415;22415;0;0;0.0;91135.3;91211.46;0.0;0.0;0.0;0.0;0.0;91178.03;0.0;0.0
1867;433990;2017-01-03;DAP;K19;36720;34720;7;2355;246209140.0;87666.09;87705.08;5.8;5.78;5.8;5.79;5.79;87672.94;0.0;0.0
1868;433991;2017-01-03;DAP;Q20;2790;2790;0;0;0.0;81645.65;81636.15;0.0;0.0;0.0;0.0;0.0;81606.23;0.0;0.0
1869;433992;2017-01-03;DAP;K21;9929;9929;0;0;0.0;78253.53;78271.09;0.0;0.0;0.0;0.0;0.0;78242.41;0.0;0.0
