;id;time_stamp;contract;maturity_code;open_interest_open;open_interest_close;number_of_trades;trading_volume;financial_volume;previous_settlement;indexed_settlement;opening_price;minimum_price;maximum_price;average_price;last_price;settlement_price;last_bid;last_offer
23881;540125;2018-01-02;DAP;F18;70855;69855;4;1000;122390210.0;99875.86;99890.31;3.49;3.49;3.49;3.49;3.49;99877.56;0.0;0.0
23882;540126;2018-01-02;DAP;G18;300;300;0;0;0.0;99638.51;99641.89;0.0;0.0;0.0;0.0;0.0;99629.17;0.0;0.0
23883;540127;2018-01-02;DAP;H18;0;0;0;0;0.0;99533.2;99533.61;0.0;0.0;0.0;0.0;0.0;99520.9;0.0;0.0
23884;540128;2018-01-02;DAP;Q18;113372;113375;2;500;60076170.0;98093.33;98063.85;3.23;3.23;3.23;3.23;3.23;98051.33;0.0;0.0
23885;540129;2018-01-02;DAP;F19;700;700;0;0;0.0;97195.39;97184.94;0.0;0.0;0.0;0.0;0.0;97172.53;0.0;0.0
23886;540130;2018-01-02;DAP;K19;105039;105274;5;500;59178565.0;96501.69;96598.66;2.6;2.6;2.6;2.6;2.6;96586.33;0.0;0.0
23887;540131;2018-01-02;DAP;Q20;25072;25177;6;330;36569844.0;90246.86;90445.28;3.92;3.92;3.92;3.92;3.92;90433.73;0.0;0.0
23888;540132;2018-01-02;DAP;K21;65866;65866;2;400;42754744.0;86883.08;87237.06;4.16;4.16;4.16;4.16;4.16;87225.92;0.0;0.0
23889;540133;2018-01-02;DAP;Q22;39254;39494;6;255;25422958.0;80934.65;81382.3;4.64;4.58;4.64;4.58;4.58;81371.91;0.0;0.0
23890;540134;2018-01-02;DAP;K23;39595;39595;2;295;28127061.0;77442.35;77778.17;4.81;4.81;4.81;4.81;4.81;77768.24;0.0;0.0
23891;540135;2018-01-02;DAP;Q24;11049;11049;4;185;16380120.0;72112.43;72540.37;5.08;5.02;5.08;5.05;5.02;72531.11;0.0;0.0
23892;540136;2018-01-02;DAP;Q26;10329;10572;5;425;33945061.0;65028.89;65259.63;5.13;5.09;5.13;5.1;5.1;65251.3;0.0;0.0
23893;540137;2018-01-02;DAP;Q30;270;270;0;0;0.0;51863.78;52189.16;0.0;0.0;0.0;0.0;0.0;52182.5;0.0;0.0
23894;540331;2018-01-03;DAP;F18;69855;69855;4;500;61214050.0;99890.31;99907.59;3.37;3.37;3.37;3.37;3.37;99894.83;0.0;0.0
23895;540332;2018-01-03;DAP;G18;300;300;0;0;0.0;99641.89;99663.12;0.0;0.0;0.0;0.0;0.0;99650.4;0.0;0.0
23896;540333;2018-01-03;DAP;H18;0;0;0;0;0.0;99533.61;99556.4;0.0;0.0;0.0;0.0;0.0;99543.69;0.0;0.0
23897;540334;2018-01-03;DAP;Q18;113375;113903;9;1570;188767489.0;98063.85;98117.15;3.16;3.16;3.16;3.16;3.16;98104.62;0.0;0.0
23898;540335;2018-01-03;DAP;F19;700;700;0;0;0.0;97184.94;97253.8;0.0;0.0;0.0;0.0;0.0;97241.38;0.0;0.0
23899;540336;2018-01-03;DAP;K19;105274;106295;8;1520;179996821.0;96598.66;96646.63;2.59;2.57;2.59;2.58;2.58;96634.29;0.0;0.0
23900;540337;2018-01-03;DAP;Q20;25177;25202;2;25;2776822.0;90445.28;90618.37;3.84;3.84;3.84;3.84;3.84;90606.8;0.0;0.0
23901;540338;2018-01-03;DAP;K21;65866;66131;10;435;46569015.0;87237.06;87363.48;4.16;4.11;4.16;4.12;4.11;87352.33;0.0;0.0
23902;540339;2018-01-03;DAP;Q22;39494;39904;9;800;79936280.0;81382.3;81540.11;4.54;4.54;4.54;4.54;4.54;81529.7;0.0;0.0
23903;540340;2018-01-03;DAP;K23;39595;39310;11;2955;281923983.0;77778.17;78110.35;4.81;4.74;4.83;4.8;4.78;78100.38;0.0;0.0
23904;540341;2018-01-03;DAP;Q24;11049;11129;6;220;19527134.0;72540.37;72828.28;5.03;4.93;5.03;5.02;4.93;72818.98;0.0;0.0
23905;540342;2018-01-03;DAP;Q26;10572;10435;4;455;36473790.0;65259.63;65540.03;5.07;5.04;5.07;5.06;5.04;65531.66;0.0;0.0
23906;540343;2018-01-03;DAP;Q30;270;270;0;0;0.0;52189.16;52449.7;0.0;0.0;0.0;0.0;0.0;52443.0;0.0;0.0
23907;540536;2018-01-04;DAP;F18;69855;69863;3;400;48984904.0;99907.59;99921.81;3.33;3.33;3.33;3.33;3.33;99909.05;0.0;0.0
23908;540537;2018-01-04;DAP;G18;300;300;0;0;0.0;99663.13;99682.69;0.0;0.0;0.0;0.0;0.0;99669.96;0.0;0.0
23909;540538;2018-01-04;DAP;H18;0;0;0;0;0.0;99556.4;99576.82;0.0;0.0;0.0;0.0;0.0;99564.1;0.0;0.0
23910;540539;2018-01-04;DAP;Q18;113903;114903;11;2760;332100203.0;98117.15;98181.62;3.12;3.07;3.12;3.07;3.07;98169.08;0.0;0.0
23911;540540;2018-01-04;DAP;F19;700;700;0;0;0.0;97253.8;97245.05;0.0;0.0;0.0;0.0;0.0;97232.63;0.0;0.0
23912;540541;2018-01-04;DAP;K19;106295;109000;17;3520;417023958.0;96646.63;96669.04;2.57;2.56;2.59;2.56;2.56;96656.7;0.0;0.0
23913;540542;2018-01-04;DAP;Q20;25202;25262;6;245;27235020.0;90618.37;90700.25;3.82;3.81;3.82;3.82;3.81;90688.67;0.0;0.0
23914;540543;2018-01-04;DAP;K21;66131;65381;9;1305;139846976.0;87363.48;87461.76;4.11;4.09;4.11;4.1;4.09;87450.59;0.0;0.0
23915;540544;2018-01-04;DAP;Q22;39904;40264;13;830;83140211.0;81540.11;81733.96;4.54;4.49;4.54;4.49;4.49;81723.52;0.0;0.0
23916;540545;2018-01-04;DAP;K23;39310;39310;4;930;89048950.0;78110.35;78204.32;4.74;4.72;4.74;4.74;4.72;78194.33;0.0;0.0
23917;540546;2018-01-04;DAP;Q24;11129;11134;1;5;446930.0;72828.28;73071.25;4.91;4.91;4.91;4.91;4.91;73061.92;0.0;0.0
23918;540547;2018-01-04;DAP;Q26;10435;10465;2;30;2418108.0;65540.03;65713.88;5.0;5.0;5.0;5.0;5.0;65705.49;0.0;0.0
23919;540548;2018-01-04;DAP;Q30;270;270;0;0;0.0;52449.7;52585.76;0.0;0.0;0.0;0.0;0.0;52579.05;0.0;0.0
23920;540741;2018-01-05;DAP;F18;69863;69863;1;5;612464.0;99921.81;99936.18;3.4;3.4;3.4;3.4;3.4;99923.42;0.0;0.0
23921;540742;2018-01-05;DAP;G18;300;300;0;0;0.0;99682.69;99705.87;0.0;0.0;0.0;0.0;0.0;99693.14;0.0;0.0
23922;540743;2018-01-05;DAP;H18;0;0;0;0;0.0;99576.81;99602.22;0.0;0.0;0.0;0.0;0.0;99589.5;0.0;0.0
23923;540744;2018-01-05;DAP;Q18;114903;115083;3;185;22268164.0;98181.62;98204.97;3.07;3.05;3.08;3.06;3.05;98192.43;0.0;0.0
23924;540745;2018-01-05;DAP;F19;700;700;0;0;0.0;97245.05;97265.28;0.0;0.0;0.0;0.0;0.0;97252.86;0.0;0.0
23925;540746;2018-01-05;DAP;K19;109000;108870;5;355;42060873.0;96669.04;96666.1;2.59;2.57;2.59;2.57;2.57;96653.75;0.0;0.0
23926;540747;2018-01-05;DAP;Q20;25262;25612;4;370;41142528.0;90700.25;90668.27;3.82;3.79;3.84;3.82;3.84;90656.69;0.0;0.0
23927;540748;2018-01-05;DAP;K21;65381;65411;3;35;3751606.0;87461.76;87419.53;4.1;4.1;4.1;4.1;4.1;87408.37;0.0;0.0
23928;540749;2018-01-05;DAP;Q22;40264;40614;8;550;55061342.0;81733.96;81676.41;4.52;4.51;4.52;4.51;4.51;81665.98;0.0;0.0
23929;540750;2018-01-05;DAP;K23;39310;39605;4;1180;113019031.0;78204.32;78178.84;4.74;4.74;4.74;4.74;4.74;78168.86;0.0;0.0
23930;540751;2018-01-05;DAP;Q24;11134;11134;0;0;0.0;73071.25;73085.07;0.0;0.0;0.0;0.0;0.0;73075.74;0.0;0.0
23931;540752;2018-01-05;DAP;Q26;10465;10465;2;15;1206490.0;65713.88;65780.41;5.03;5.03;5.03;5.03;5.03;65772.01;0.0;0.0
