;id;time_stamp;contract;maturity_code;open_interest_open;open_interest_close;number_of_trades;trading_volume;financial_volume;previous_settlement;indexed_settlement;opening_price;minimum_price;maximum_price;average_price;last_price;settlement_price;last_bid;last_offer
48490;848887;2024-01-02;DAP;F24;83103;83083;10;292;49240911.0;99841.91;99841.91;3.34;3.34;3.34;3.34;3.34;99882.8;0.0;4.52
48491;848888;2024-01-02;DAP;G24;0;0;0;0;0.0;99331.23;99331.23;0.0;0.0;0.0;0.0;0.0;99372.38;0.0;0.0
48492;848889;2024-01-02;DAP;H24;900;900;0;0;0.0;99163.41;99163.41;0.0;0.0;0.0;0.0;0.0;99211.51;0.0;0.0
48493;848890;2024-01-02;DAP;J24;0;0;0;0;0.0;98622.4;98622.4;0.0;0.0;0.0;0.0;0.0;98674.76;0.0;0.0
48494;848891;2024-01-02;DAP;K24;200;200;0;0;0.0;98226.94;98226.94;0.0;0.0;0.0;0.0;0.0;98286.85;0.0;0.0
48495;848892;2024-01-02;DAP;M24;0;0;0;0;0.0;98051.46;98051.46;0.0;0.0;0.0;0.0;0.0;98103.66;0.0;0.0
48496;848893;2024-01-02;DAP;Q24;339749;331151;52;11275;1828662433.0;96061.41;96061.41;6.77;6.55;6.77;6.656;6.55;96124.43;0.0;6.6
48497;848894;2024-01-02;DAP;F25;25845;26095;2;259;41229254.0;94240.86;94240.86;5.85;5.82;5.85;5.821;5.82;94288.2;0.0;0.0
48498;848895;2024-01-02;DAP;K25;292411;292984;37;2352;369430001.0;93002.54;93002.54;5.49;5.4;5.49;5.448;5.4;93055.74;5.4;5.47
48499;848896;2024-01-02;DAP;Q26;194176;194362;51;6234;924163431.0;87803.05;87803.05;5.12;5.08;5.12;5.09;5.09;87807.11;5.06;5.14
48500;848897;2024-01-02;DAP;K27;112101;112054;31;454;64750511.0;84510.01;84510.01;5.15;5.15;5.18;5.159;5.16;84475.58;0.0;5.16
48501;848898;2024-01-02;DAP;Q28;160418;159301;41;2061;276402824.0;79421.91;79421.91;5.13;5.11;5.15;5.128;5.11;79500.29;0.0;0.0
48502;848899;2024-01-02;DAP;Q30;136964;137091;30;741;90139859.0;71959.13;71959.13;5.14;5.1;5.17;5.108;5.1;72088.81;5.09;5.17
48503;848900;2024-01-02;DAP;Q32;42537;42590;17;763;83242845.0;64590.57;64590.57;5.24;5.19;5.24;5.221;5.19;64689.77;5.17;5.21
48504;848901;2024-01-02;DAP;K33;45475;47270;32;2716;286298563.0;62252.37;62252.37;5.22;5.18;5.22;5.182;5.18;62452.75;5.17;5.21
48505;848902;2024-01-02;DAP;K35;74923;74962;18;331;31446159.0;56175.37;56175.37;5.25;5.2;5.25;5.219;5.2;56388.07;0.0;0.0
48506;848903;2024-01-02;DAP;Q40;14876;14783;1;1255;91488797.0;42749.79;42749.79;5.21;5.21;5.21;5.21;5.21;42874.64;0.0;0.0
48507;848904;2024-01-02;DAP;K45;693;693;0;0;0.0;34145.09;34145.09;0.0;0.0;0.0;0.0;0.0;34157.09;0.0;0.0
48508;848905;2024-01-02;DAP;Q50;15;15;0;0;0.0;25206.42;25206.42;0.0;0.0;0.0;0.0;0.0;25182.69;0.0;0.0
48509;848906;2024-01-02;DAP;K55;1295;1295;0;0;0.0;19811.14;19811.14;0.0;0.0;0.0;0.0;0.0;19793.0;0.0;0.0
48510;848907;2024-01-02;DAP;Q60;0;0;0;0;0.0;16198.44;16198.44;0.0;0.0;0.0;0.0;0.0;16173.7;0.0;0.0
48511;849097;2024-01-03;DAP;F24;83083;83091;11;222;37455253.0;99900.15;99900.15;3.0;3.0;3.0;3.0;3.0;99901.01;0.0;0.0
48512;849098;2024-01-03;DAP;G24;0;0;0;0;0.0;99389.64;99389.64;0.0;0.0;0.0;0.0;0.0;99405.93;0.0;0.0
48513;849099;2024-01-03;DAP;H24;900;900;0;0;0.0;99228.74;99228.74;0.0;0.0;0.0;0.0;0.0;99256.66;0.0;0.0
48514;849100;2024-01-03;DAP;J24;0;0;0;0;0.0;98691.9;98691.9;0.0;0.0;0.0;0.0;0.0;98733.35;0.0;0.0
48515;849101;2024-01-03;DAP;K24;200;200;0;0;0.0;98303.92;98303.92;0.0;0.0;0.0;0.0;0.0;98356.49;0.0;0.0
48516;849102;2024-01-03;DAP;M24;0;0;0;0;0.0;98120.7;98120.7;0.0;0.0;0.0;0.0;0.0;98184.73;0.0;0.0
48517;849103;2024-01-03;DAP;Q24;331151;331052;65;9961;1618072816.0;96141.13;96141.13;6.6;6.37;6.6;6.476;6.37;96243.72;6.35;6.45
48518;849104;2024-01-03;DAP;F25;26095;25128;15;1533;244371154.0;94304.58;94304.58;5.8;5.71;5.8;5.729;5.71;94411.01;0.0;0.0
48519;849105;2024-01-03;DAP;K25;292984;293439;48;5477;861372059.0;93071.9;93071.9;5.45;5.37;5.45;5.385;5.37;93147.2;0.0;0.0
48520;849106;2024-01-03;DAP;Q26;194362;194247;49;5172;767533312.0;87822.36;87822.36;5.12;5.05;5.12;5.066;5.06;87890.01;5.06;5.1
48521;849107;2024-01-03;DAP;K27;112054;111179;53;3015;430450750.0;84490.25;84490.25;5.17;5.13;5.17;5.141;5.14;84546.29;0.0;5.16
48522;849108;2024-01-03;DAP;Q28;159301;159126;85;15848;2127014253.0;79514.1;79514.1;5.11;5.09;5.15;5.121;5.12;79481.23;0.0;0.0
48523;849109;2024-01-03;DAP;Q30;137091;136766;38;6947;843974021.0;72101.33;72101.33;5.1;5.08;5.16;5.136;5.11;72057.95;5.08;0.0
48524;849110;2024-01-03;DAP;Q32;42590;44365;46;5304;578867443.0;64701.01;64701.01;5.2;5.2;5.23;5.222;5.21;64692.26;5.16;0.0
48525;849111;2024-01-03;DAP;K33;47270;46119;25;4683;492618940.0;62463.6;62463.6;5.22;5.2;5.22;5.211;5.22;62299.5;0.0;0.0
