;id;time_stamp;contract;maturity_code;open_interest_open;open_interest_close;number_of_trades;trading_volume;financial_volume;previous_settlement;indexed_settlement;opening_price;minimum_price;maximum_price;average_price;last_price;settlement_price;last_bid;last_offer
43598;797721;2023-01-02;DAP;F23;79116;78852;2;374;60104552.0;99674.51;99674.51;8.56;8.56;8.56;8.56;8.56;99645.21;0.0;0.0
43599;797722;2023-01-02;DAP;G23;0;0;0;0;0.0;99133.21;99133.21;0.0;0.0;0.0;0.0;0.0;99069.47;0.0;0.0
43600;797723;2023-01-02;DAP;H23;0;0;0;0;0.0;98826.18;98826.18;0.0;0.0;0.0;0.0;0.0;98723.35;0.0;0.0
43601;797724;2023-01-02;DAP;K23;256483;256205;15;3181;501726684.0;97973.22;97973.22;6.34;6.34;6.41;6.34;6.41;97808.81;6.25;0.0
43602;797725;2023-01-02;DAP;F24;20627;20822;3;198;29744736.0;93450.84;93450.84;7.15;7.15;7.15;7.15;7.15;93173.78;0.0;0.0
43603;797726;2023-01-02;DAP;Q24;197902;201648;38;11480;1668100267.0;90431.79;90431.79;6.69;6.64;6.7;6.66;6.7;90079.09;0.0;6.71
43604;797727;2023-01-02;DAP;K25;250877;248345;21;5106;713117280.0;86948.97;86948.97;6.3;6.28;6.31;6.29;6.28;86608.91;0.0;6.28
43605;797728;2023-01-02;DAP;Q26;181748;181796;20;2016;261352552.0;80742.83;80742.83;6.11;6.11;6.25;6.21;6.25;80319.09;6.14;6.38
43606;797729;2023-01-02;DAP;K27;131068;130438;20;2225;277070976.0;77672.43;77672.43;6.11;6.11;6.12;6.11;6.11;77246.4;0.0;0.0
43607;797730;2023-01-02;DAP;Q28;141220;140750;16;1302;150413380.0;72118.6;72118.6;6.13;6.13;6.13;6.13;6.13;71651.33;6.04;6.17
43608;797731;2023-01-02;DAP;Q30;128610;128486;24;774;80087962.0;64880.63;64880.63;6.02;6.02;6.02;6.02;6.02;64176.36;0.0;0.0
43609;797732;2023-01-02;DAP;Q32;48480;48639;12;186;17098937.0;57649.71;57649.71;6.03;6.03;6.03;6.03;6.03;57017.08;5.94;6.1
43610;797733;2023-01-02;DAP;K35;66245;66795;14;668;52349069.0;49238.94;49238.94;6.03;6.03;6.03;6.03;6.03;48605.04;5.92;6.1
43611;797734;2023-01-02;DAP;Q40;18579;18579;0;0;0.0;36414.42;36414.42;0.0;0.0;0.0;0.0;0.0;35750.43;0.0;0.0
43612;797735;2023-01-02;DAP;K45;670;670;0;0;0.0;28159.56;28159.56;0.0;0.0;0.0;0.0;0.0;27568.17;0.0;0.0
43613;797736;2023-01-02;DAP;Q50;0;0;0;0;0.0;20695.33;20695.33;0.0;0.0;0.0;0.0;0.0;20161.07;0.0;0.0
43614;797737;2023-01-02;DAP;K55;1295;1295;0;0;0.0;16321.95;16321.95;0.0;0.0;0.0;0.0;0.0;15829.07;0.0;0.0
43615;797738;2023-01-02;DAP;Q60;0;0;0;0;0.0;12200.77;12200.77;0.0;0.0;0.0;0.0;0.0;11732.19;0.0;0.0
43616;797921;2023-01-03;DAP;F23;78852;78864;5;65;10452993.0;99676.49;99676.49;8.1;8.1;8.1;8.1;8.1;99707.1;0.0;0.0
