;id;time_stamp;contract;maturity_code;open_interest_open;open_interest_close;number_of_trades;trading_volume;financial_volume;previous_settlement;indexed_settlement;opening_price;minimum_price;maximum_price;average_price;last_price;settlement_price;last_bid;last_offer
34933;692436;2021-01-04;DAP;F21;83908;83908;4;1002;138945656.0;100340.92;100340.92;10.7;10.7;10.7;10.7;10.7;100404.99;10.7;0.0
34934;692437;2021-01-04;DAP;G21;0;0;0;0;0.0;100235.07;100235.07;0.0;0.0;0.0;0.0;0.0;100217.69;0.0;0.0
34935;692438;2021-01-04;DAP;H21;0;0;0;0;0.0;100411.58;100411.58;0.0;0.0;0.0;0.0;0.0;100430.49;0.0;0.0
34936;692439;2021-01-04;DAP;K21;101186;101661;8;1217;169205862.0;100704.84;100704.84;1.89;1.93;1.7;1.83;1.7;100621.09;0.0;0.0
34937;692440;2021-01-04;DAP;F22;3609;3609;1;5;697187.0;100964.33;100964.33;0.92;0.92;0.92;0.92;0.92;101025.23;0.0;0.0
34938;692441;2021-01-04;DAP;Q22;71465;71465;3;169;23329766.0;99965.05;99965.05;0.03;0.04;0.03;0.02;0.04;100064.48;0.05;0.0
34939;692442;2021-01-04;DAP;K23;80687;80650;11;207;28132359.0;98409.29;98409.29;0.69;0.63;0.69;0.68;0.69;98420.55;0.0;0.0
34940;692443;2021-01-04;DAP;Q24;71449;71599;16;240;31402860.0;94536.46;94536.46;1.57;1.51;1.57;1.51;1.51;94743.09;0.0;0.0
34941;692444;2021-01-04;DAP;K25;71366;71568;8;788;101044102.0;92712.84;92712.84;1.76;1.72;1.76;1.72;1.72;92817.98;0.0;1.73
34942;692445;2021-01-04;DAP;Q26;52593;52575;9;221;26955493.0;88118.7;88118.7;2.26;2.24;2.26;2.24;2.24;88319.09;2.24;0.0
34943;692446;2021-01-04;DAP;Q28;51652;51320;12;1197;135415404.0;82006.1;82006.1;2.67;2.65;2.67;2.66;2.65;81862.2;0.0;0.0
34944;692447;2021-01-04;DAP;Q30;34934;34951;11;132;13850332.0;76093.27;76093.27;2.91;2.91;2.91;2.91;2.91;75973.88;2.89;2.97
